1,1,0.0016638935108153079,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
1,2,0.0016638935108153079,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
2,1,0.0033277870216306157,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
2,2,0.0033277870216306157,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: Softdrugs tolerated])
3,1,0.004991680532445923,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
3,2,0.004991680532445923,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Medium tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: All drugs illegal])
4,1,0.0066555740432612314,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
4,2,0.0066555740432612314,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
5,1,0.008319467554076539,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
5,2,0.008319467554076539,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for peace mission, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
6,1,0.009983361064891847,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
6,2,0.009983361064891847,Lab3@3,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: High labor tax, Environmental tax: Low tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: All drugs illegal])
7,1,0.011647254575707155,BoulwareNegotiationParty@2,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
7,2,0.011647254575707155,Lab3@3,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Medium tax, Usage of army: Army for offencive missions, Immigration policy: Closed borders, Stay or leave EU: leave, National or globalized economy: Only dependent on national products, Drug policy: All drugs illegal])
